imo,load_type,quantity
8602945,cargo,0
7120469,oil,0
9335147,chemical,0
8401248,cargo,0
9335185,containers,0
9947897,aggregates,0
9111618,containers,0
9437634,bulk,0
9363156,containers,0
1090480,cargo,0
8517047,chemical,0
9908140,containers,0
9612894,cargo,0
9198240,bulk,0
9679892,containers,0
1086324,cargo,0
9307267,containers,0
8129606,oil,0
9188984,oil,0
9485021,bulk,0
8404654,oil,0
9746786,chemical,0
8701002,cargo,0
8121599,cargo,0
9301720,bulk,0
1084596,cargo,0
9202168,containers,0
9031430,cargo,0
9253208,containers,0
9592458,bulk,0
9205627,bulk,0
9653379,cargo,0
8741806,cargo,0
9292498,oil,0
8015568,cargo,0
9364758,bulk,0
1036525,bulk,0
1040332,cargo,0
9464895,bulk,0
9554030,bulk,0
8858922,cargo,0
7607792,oil,0
8408703,bulk,0
8224004,cargo,0
9852365,containers,0
9808156,oil,0
9556430,cargo,0
9956800,bulk,0
9780653,containers,0
9600592,cement,0
8514629,cargo,0
9181493,cargo,0
8212659,containers,0
1028231,bulk,0
9223435,cargo,0
1068891,bulk,0
9945344,containers,0
9997361,cargo,0
8132835,cargo,0
9168893,bulk,0
9911044,fish,0
9276339,vehicles,0
7119965,cargo,0
8213603,refrigerated,0
8108573,bulk,0
7526857,cargo,0
8711083,oil,0
9288291,bulk,0
9041423,cargo,0
9560936,chemical,0
9493937,bulk,0
9303871,bulk,0
9709635,cargo,0
9165487,fish,0
9226815,containers,0
9412880,LNG,0
9326512,chemical,0
9492945,oil,0
8505848,bulk,0
9576923,bulk,0
8611219,cargo,0
1018872,chemical,0
7904877,cargo,0
9355288,containers,0
8592310,cargo,0
9908451,bulk,0
8891376,cargo,0
9163520,cargo,0
9238777,containers,0
7820241,cargo,0
9344148,oil,0
7411600,cargo,0
9852377,oil,0
9252060,chemical,0
9997012,containers,0
9189861,bulk,0
8682464,cargo,0
9342671,containers,0
7905039,refrigerated,0
9155963,cargo,0
9005106,LPG,0
9935064,containers,0
9125712,oil,0
9637181,chemical,0
9864318,LPG,0
9736286,bulk,0
9000716,cargo,0
8360640,oil,0
9875276,bulk,0
9191761,oil,0
6505325,chemical,0
9990832,bulk,0
9906726,cargo,0
9492608,bulk,0
7231086,cargo,0
9072214,bulk,0
8902797,LPG,0
9301184,bulk,0
9622758,cargo,0
9661429,oil,0
8013120,chemical,0
9437220,containers,0
9250191,LNG,0
9959412,bulk,0
9332066,LPG,0
9490741,bulk,0
9458470,cargo,0
8906834,bulk,0
8304311,cargo,0
9040003,oil,0
9331646,LNG,0
7204734,oil,0
9719410,LPG,0
9672222,bulk,0
9409613,cargo,0
9623362,cargo,0
8405012,cargo,0
9348431,containers,0
9051686,bulk,0
8772556,chemical,0
9798179,chemical,0
9076272,refrigerated,0
9460825,oil,0
9225562,cargo,0
9685449,chemical,0
9283186,containers,0
8822600,cargo,0
9072109,containers,0
8842480,ore,0
8509442,oil,0
9631993,containers,0
9271391,bulk,0
9778430,bulk,0
9225500,cargo,0
8935861,cargo,0
9315537,bulk,0
9144251,cargo,0
9508976,chemical,0
9302023,oil,0
9815745,cargo,0
9613616,chemical,0
9950428,bulk,0
9232369,chemical,0
8503034,cargo,0
9908449,cargo,0
8414740,cargo,0
8868276,oil,0
9972866,oil,0
9514391,bulk,0
8898738,cargo,0
9332169,chemical,0
8514332,chemical,0
9520962,bulk,0
9645669,containers,0
8730754,cargo,0
8869361,cargo,0
9521849,bulk,0
7803499,cargo,0
9172727,chemical,0
8617782,cargo,0
9031636,chemical,0
8730455,bulk,0
9240055,cargo,0
8693126,bulk,0
9422158,oil,0
9523756,cargo,0
9574080,vehicles,0
8116180,cargo,0
9491381,bulk,0
9304435,containers,0
9240885,chemical,0
9726176,bulk,0
1040588,cargo,0
9089736,oil,0
9938834,bulk,0
9881744,cargo,0
9963140,containers,0
9476771,chemical,0
1067287,cargo,0
8325547,oil,0
9615066,bulk,0
7612503,cargo,0
9837872,chemical,0
9291248,oil,0
9377200,chemical,0
7206653,oil,0
9014688,cargo,0
1054553,bulk,0
8100583,cargo,0
9907433,oil,0
9962495,chemical,0
9194440,bulk,0
9058402,containers,0
9134294,LPG,0
8745967,cargo,0
9790880,bulk,0
9321263,containers,0
8864335,cargo,0
9686766,chemical,0
8110045,containers,0
9371983,cargo,0
8029600,cargo,0
9590864,bulk,0
8599423,aggregates,0
9269207,LNG,0
8627749,oil,0
9120762,containers,0
9268253,chemical,0
8033912,cargo,0
8026153,bulk,0
9822841,containers,0
9298820,oil,0
9633501,chemical,0
9178343,oil,0
9603881,bulk,0
9938614,bulk,0
9438614,bulk,0
9683013,oil,0
8806101,containers,0
9238806,containers,0
9126675,fuel,0
9755191,containers,0
9615171,bulk,0
9224518,containers,0
9638018,oil,0
9382243,cargo,0
9209831,cargo,0
9925813,bulk,0
8818180,containers,0
9890094,bulk,0
7903029,livestock,0
9261762,chemical,0
9310525,oil,0
9691735,chemical,0
8520501,refrigerated,0
8314988,bulk,0
7007306,ore,0
9638379,cargo,0
8701519,bulk,0
9222429,cargo,0
1092660,oil,0
8865999,cargo,0
9885879,oil,0
9362061,oil,0
7310997,cargo,0
8411982,oil,0
8763608,oil,0
9353747,containers,0
1014254,cargo,0
1129762,cargo,0
9658068,bulk,0
7724344,cargo,0
9468437,LNG,0
9446570,bulk,0
1050909,fish,0
9643324,cargo,0
9030462,cargo,0
7501352,cargo,0
7420962,cargo,0
9330343,oil,0
9205603,bulk,0
9073751,oil,0
9160425,containers,0
9324289,oil,0
9587532,bulk,0
9923621,cargo,0
9800489,cargo,0
9305908,containers,0
9780732,LPG,0
9486582,bulk,0
9573969,bulk,0
8943399,cargo,0
1032488,chemical,0
9336658,LPG,0
9262936,bulk,0
9782259,bulk,0
9424259,cargo,0
1020459,bulk,0
9088770,cargo,0
9660023,bulk,0
8845470,cargo,0
9460253,bulk,0
8007793,bulk,0
9850563,containers,0
9411458,cargo,0
9056430,containers,0
8017578,cargo,0
9192026,cargo,0
9448798,containers,0
9357793,containers,0
1051305,chemical,0
9110559,containers,0
9480978,cargo,0
9864239,containers,0
9848003,cargo,0
9420162,cargo,0
9224764,oil,0
9787390,cargo,0
9711731,bulk,0
9939058,chemical,0
9177765,cargo,0
9123386,chemical,0
9549724,oil,0
9324320,oil,0
9832107,chemical,0
9451769,bulk,0
8617134,oil,0
8914233,bulk,0
8319469,cargo,0
9631785,cargo,0
8033431,cargo,0
9418315,timber,0
9489821,bulk,0
8324696,cargo,0
9964065,chemical,0
8128078,bulk,0
9088677,LPG,0
9883493,chemical,0
8117251,containers,0
9723588,oil,0
8638449,cargo,0
9722962,bulk,0
9485356,chemical,0
9636632,chemical,0
9387542,oil,0
9315381,containers,0
8625466,cargo,0
9082934,vehicles,0
9282508,oil,0
8888329,cargo,0
9209570,cement,0
9265861,chemical,0
9355472,containers,0
9105994,containers,0
9609263,cargo,0
9214068,bulk,0
9180140,oil,0
9436214,containers,0
9339301,oil,0
9504803,cargo,0
9834040,cargo,0
9965722,bulk,0
9568457,cargo,0
9522659,bulk,0
9496666,cargo,0
9392547,fish,0
9343340,oil,0
9948152,vehicles,0
9523938,cargo,0
1027055,bulk,0
9763875,bulk,0
8118114,bulk,0
9403580,cargo,0
7396460,cargo,0
9667576,bulk,0
9222170,chemical,0
9111175,oil,0
9084279,oil,0
9265354,oil,0
9478535,cargo,0
9018385,cargo,0
9915387,containers,0
9146091,cargo,0
9561033,cargo,0
7430345,cargo,0
8225656,fish,0
7405687,bulk,0
8600193,vehicles,0
5255650,cargo,0
9333759,vehicles,0
9152868,containers,0
9916575,oil,0
8611831,oil,0
9479670,chemical,0
9423580,bulk,0
7924035,LPG,0
9232448,oil,0
9959424,bulk,0
9139995,bulk,0
7817361,cargo,0
1018676,LNG,0
9762481,bulk,0
8611221,cargo,0
9153109,bulk,0
9940710,chemical,0
9552771,cargo,0
9573907,bulk,0
7927489,gas,0
9179880,oil,0
9182928,oil,0
1018755,bulk,0
7714753,bulk,0
9605009,bulk,0
9692832,oil,0
8403856,oil,0
9966051,cargo,0
9730921,cargo,0
9923487,oil,0
9301421,oil,0
9288277,oil,0
9937969,LNG,0
8600571,bulk,0
9316701,oil,0
9373802,cargo,0
8906236,oil,0
9809071,chemical,0
9286657,oil,0
9444534,bulk,0
8858702,cargo,0
9534999,bulk,0
9468786,bulk,0
9684110,chemical,0
9577446,bulk,0
8662309,cargo,0
6823961,cargo,0
9380817,cargo,0
9537977,bulk,0
9458391,cargo,0
9021253,containers,0
9828869,bulk,0
8109242,bulk,0
7417496,chemical,0
9295579,bulk,0
8626719,cargo,0
9308027,containers,0
9290490,oil,0
8504430,oil,0
9429211,containers,0
9208033,oil,0
7531589,cargo,0
9736482,oil,0
9637296,bulk,0
9294367,vehicles,0
9810836,vehicles,0
1045411,oil,0
9387437,containers,0
8501737,cargo,0
9058957,oil,0
9687849,bulk,0
9182291,oil,0
8905842,bulk,0
9752412,bulk,0
9718181,bulk,0
8512970,timber,0
9083902,cargo,0
7377488,bulk,0
9883182,cargo,0
9292228,oil,0
7431698,CO2,0
9732577,oil,0
7360368,cargo,0
9382164,oil,0
8690370,oil,0
9030761,ore,0
9443152,chemical,0
9731652,vehicles,0
9167526,containers,0
9964247,containers,0
9787974,bulk,0
9953494,oil,0
8100521,containers,0
9478298,chemical,0
9365257,chemical,0
7719246,bulk,0
9235696,chemical,0
9005338,asphalt,0
9627485,LNG,0
5296795,refrigerated,0
9588081,containers,0
8757946,cargo,0
8913681,containers,0
1023152,oil,0
7435149,cargo,0
9487421,bulk,0
8026074,containers,0
8519502,cargo,0
9155406,cargo,0
8007511,cargo,0
9134438,cargo,0
9216406,bulk,0
8220395,refrigerated,0
7235070,cargo,0
9442392,bulk,0
1019993,chemical,0
9801990,vehicles,0
9702077,containers,0
9714537,chemical,0
9411381,containers,0
9590606,bulk,0
9179309,wood chips,0
9129158,cargo,0
9106508,containers,0
9864746,LNG,0
8857447,cargo,0
9088782,cargo,0
8223452,refrigerated,0
6726436,cargo,0
9666364,cargo,0
8717025,refrigerated,0
9499424,bulk,0
9585871,oil,0
8603418,cargo,0
9689603,containers,0
9489118,chemical,0
7602704,cargo,0
9418066,oil,0
9592678,cargo,0
9291200,chemical,0
9379129,chemical,0
9802982,cargo,0
9247481,oil,0
8313087,oil,0
9700172,ore,0
8403911,cargo,0
9687514,LPG,0
8711021,chemical,0
9585663,bulk,0
9872688,oil,0
9452579,bulk,0
9850599,containers,0
9462744,cargo,0
9767558,bulk,0
9739836,chemical,0
9912115,oil,0
9255189,bulk,0
9088512,containers,0
9931745,oil,0
7023087,cargo,0
9048512,oil,0
1015454,bulk,0
9885233,chemical,0
9057537,refrigerated,0
9475727,bulk,0
9284362,bulk,0
9777802,vehicles,0
9356414,cargo,0
9253753,oil,0
7731737,oil,0
8405000,cargo,0
9415662,LPG,0
9588158,oil,0
9661089,cargo,0
8914283,cargo,0
9748021,bulk,0
7105706,cargo,0
9323352,chemical,0
9236274,containers,0
9340738,cargo,0
9866548,bulk,0
9048263,cargo,0
9569815,cargo,0
6804305,cargo,0
9751377,bulk,0
9322267,oil,0
8911059,chemical,0
7718515,cargo,0
5418381,fuel,0
9416537,bulk,0
9416848,bulk,0
9604081,containers,0
9233454,cargo,0
9142461,cargo,0
9797333,bulk,0
6518528,cargo,0
9704647,containers,0
9142497,cargo,0
9250414,cargo,0
9896440,LNG,0
9083639,cargo,0
9667332,bulk,0
7382653,chemical,0
9376361,bulk,0
8326060,cargo,0
9283514,oil,0
7375375,cement,0
1033676,bulk,0
8603183,cargo,0
8119699,containers,0
7908677,LPG,0
9227857,bulk,0
8655667,cargo,0
8212570,cargo,0
1092206,cargo,0
8230479,cargo,0
9235000,oil,0
9003732,cement,0
7820954,containers,0
9983437,containers,0
9371969,cargo,0
9536272,cargo,0
7018575,cargo,0
9108063,containers,0
9921879,LPG,0
9127198,cargo,0
9810044,LPG,0
9951745,containers,0
9645073,oil,0
8904575,cargo,0
9123104,containers,0
8503682,bulk,0
9390525,chemical,0
8836986,oil,0
9539107,bulk,0
9801201,bulk,0
9403853,containers,0
8658267,cargo,0
8100454,bulk,0
9159971,cargo,0
9858565,oil,0
9584360,cargo,0
8505355,vehicles,0
8844414,cargo,0
8819017,cargo,0
9797917,refrigerated,0
9341146,chemical,0
9556313,cargo,0
9446867,bulk,0
9598878,cargo,0
9515917,chemical,0
9630353,chemical,0
9466532,chemical,0
9793454,oil,0
5267873,cargo,0
9967043,containers,0
8906793,oil,0
9429235,containers,0
1037115,cargo,0
9323089,refrigerated,0
9413418,bulk,0
8921535,LPG,0
9357573,chemical,0
9804942,bulk,0
9446726,bulk,0
9381902,chemical,0
9032288,cargo,0
9101560,containers,0
9975454,bulk,0
9993949,vehicles,0
9309966,containers,0
9494644,cargo,0
9325790,vehicles,0
9330135,chemical,0
9813307,oil,0
9378931,containers,0
7905443,refrigerated,0
9929390,bulk,0
9008718,oil,0
9909089,bulk,0
9542831,bulk,0
9985320,aggregates,0
7607338,cargo,0
9300972,containers,0
9490648,bulk,0
8009064,cargo,0
9233428,bulk,0
9047764,chemical,0
8811015,oil,0
9237292,cargo,0
8127323,cargo,0
1063255,cargo,0
9584358,cargo,0
1043748,containers,0
9820958,bulk,0
9432036,oil,0
1028475,containers,0
9359026,containers,0
9147021,cargo,0
8819093,chemical,0
9330109,bulk,0
9496678,bulk,0
7424059,cargo,0
9181560,vehicles,0
9673501,bulk,0
9788576,chemical,0
9051208,cargo,0
7801714,oil,0
8717776,containers,0
9354648,containers,0
8923129,oil,0
7117826,cargo,0
9484077,oil,0
9551117,cargo,0
9350018,containers,0
9131113,oil,0
8411528,chemical,0
8220175,bulk,0
8723414,cargo,0
9994620,bulk,0
9310800,cargo,0
9120750,containers,0
8672512,bulk,0
9532783,containers,0
1027005,bulk,0
9859911,containers,0
7800100,chemical,0
9493872,bulk,0
9343704,LPG,0
9467861,bulk,0
8920543,chemical,0
9376933,oil,0
8742563,cargo,0
8531407,bulk,0
9474682,bulk,0
9174282,vehicles,0
9820453,oil,0
9836488,bulk,0
9414137,containers,0
9364203,containers,0
9026019,cargo,0
9161302,oil,0
9396385,chemical,0
9639402,chemical,0
7101578,cement,0
8502171,cargo,0
9208215,oil,0
8627658,cargo,0
8203816,refrigerated,0
9798088,chemical,0
9991915,LNG,0
9207338,cargo,0
9176864,cargo,0
9543990,cargo,0
9218533,cargo,0
8217867,containers,0
9224623,cargo,0
8866072,cargo,0
7028441,cargo,0
9372468,cargo,0
9561019,cargo,0
9115913,cargo,0
9585247,cargo,0
9857169,containers,0
9766308,cargo,0
9658355,chemical,0
1094620,cargo,0
9773040,oil,0
9581423,chemical,0
9066344,cargo,0
9135509,cargo,0
6400472,cargo,0
9418717,cargo,0
8917792,oil,0
9977696,cargo,0
9581710,cargo,0
8129618,oil,0
9780108,chemical,0
9724958,containers,0
9931525,containers,0
9045077,containers,0
9258832,chemical,0
8663781,cargo,0
9246346,containers,0
9378943,containers,0
9316309,vehicles,0
9162447,bulk,0
9491393,bulk,0
9135559,LPG,0
9479204,bulk,0
9360805,LNG,0
7814149,bulk,0
9912452,bulk,0
9285627,vehicles,0
9908475,bulk,0
9589085,bulk,0
