imo,description,ship_type
8983935,Fishing Vessel,Fishing
9840439,Passenger/Cargo Ship,Passenger
9566760,Offshore Construction Jack Up,Other
8982101,Multi Purpose Offshore Vessel,Passenger
9457414,Tug,Tug
9998250,Oil/Chemical Tanker,Tanker
9481386,Oil/Chemical Tanker,Tanker - Hazard D (Recognizable)
9118135,Bulk Carrier,Cargo
9093153,Trawler,Fishing
9615858,Landing Craft,
7038939,Oil Products Tanker,Tanker
9269439,Multi Purpose Offshore Vessel,Tug
9413523,Oil/Chemical Tanker,Tanker
9183051,Tug,Tug
9988827,Supply Vessel,Other
9930765,Yacht,Pleasure Craft
9044176,General Cargo,Cargo
8732312,Ro-Ro/Passenger Ship,Passenger
8711916,Oil Products Tanker,Tanker
8817722,Hopper Dredger,Other
9666479,Multi Purpose Offshore Vessel,Tug
9130418,Tug,Tug
8816948,Patrol Vessel,
9310783,General Cargo,Cargo
9969974,General Cargo,Cargo
8841632,General Cargo,Cargo
8022028,LPG Tanker,Cargo
7368956,Asphalt/Bitumen Tanker,Tanker
9079729,General Cargo,Cargo
9157727,Crude Oil Tanker,Tanker
9293466,Container Ship,Cargo - Hazard A (Major)
8671104,General Cargo,Cargo
4702539,Military Ops,Military Ops
9530955,Bulk Carrier,Cargo
1110400,Fishing Vessel,Fishing
